,INT_DATE,INT_START,SUBSTRATUM,STRATUM,COUNTRY,ID,RESPAGE,RESPSEX,RESPEMP,RESPPOB,RESPMAR,TRUCRTS,TRUPARL,TRUEXEC,TRUPRES,TRUHLTH,TRUNGOS,TRUMEDI,TRULOCG,TRURELI,TRUOMB,TRUSTEU,TRUSTUN,Region_Code,NO<sub>2,SO<sub>2,PM2.5,PM10,O<sub>3,CO,NO<sub>2_lag1,SO<sub>2_lag1,PM2.5_lag1,PM10_lag1,O<sub>3_lag1,CO_lag1,NO<sub>2_lag2,SO<sub>2_lag2,PM2.5_lag2,PM10_lag2,O<sub>3_lag2,CO_lag2,NO<sub>2_lag3,SO<sub>2_lag3,PM2.5_lag3,PM10_lag3,O<sub>3_lag3,CO_lag3,NO<sub>2_lag4,SO<sub>2_lag4,PM2.5_lag4,PM10_lag4,O<sub>3_lag4,CO_lag4,NO<sub>2_lag5,SO<sub>2_lag5,PM2.5_lag5,PM10_lag5,O<sub>3_lag5,CO_lag5,row_id,date,hour,NO2_hour,SO2_hour,PM2.5_hour,PM10_hour,O3_hour,CO_hour,TRUST_SCORE
0,2019-10-09,15,1,1,3,50306501,37,2,0,1,2,1,1,1,1,3,3,3,1,4,2,4,4,1,19.19,9.9475,13.868,35.33,52.55,0.8533333333333332,18.916666666666668,9.285,10.034,26.492,56.696666666666665,0.8566666666666668,14.593333333333334,6.865,13.669999999999998,32.774,82.87333333333333,0.51,23.273333333333337,5.4,20.9,48.298,77.51666666666667,0.58,23.586666666666662,5.5275,19.362,47.244,68.85000000000001,0.7933333333333333,25.816666666666663,5.575,18.160000000000004,45.374,72.38,0.8333333333333334,0,2019-10-09,15.0,22.6725,10.75,7.118,28.162,35.005,0.3233333333333333,-1.048949084854385
1,2019-10-09,16,1,1,3,50306502,34,2,0,3,6,4,3,3,3,3,3,3,3,4,4,5,5,1,19.19,9.9475,13.868,35.33,52.55,0.8533333333333332,18.916666666666668,9.285,10.034,26.492,56.696666666666665,0.8566666666666668,14.593333333333334,6.865,13.669999999999998,32.774,82.87333333333333,0.51,23.273333333333337,5.4,20.9,48.298,77.51666666666667,0.58,23.586666666666662,5.5275,19.362,47.244,68.85000000000001,0.7933333333333333,25.816666666666663,5.575,18.160000000000004,45.374,72.38,0.8333333333333334,1,2019-10-09,16.0,22.355,10.75,6.856,22.538,37.6,0.35,1.295982247021981
2,2019-10-09,17,1,1,3,50306513,31,2,0,3,2,3,2,3,3,4,3,4,3,3,4,3,2,1,19.19,9.9475,13.868,35.33,52.55,0.8533333333333332,18.916666666666668,9.285,10.034,26.492,56.696666666666665,0.8566666666666668,14.593333333333334,6.865,13.669999999999998,32.774,82.87333333333333,0.51,23.273333333333337,5.4,20.9,48.298,77.51666666666667,0.58,23.586666666666662,5.5275,19.362,47.244,68.85000000000001,0.7933333333333333,25.816666666666663,5.575,18.160000000000004,45.374,72.38,0.8333333333333334,2,2019-10-09,17.0,20.535,10.25,7.540000000000001,26.626,40.4,0.3333333333333333,0.5857120644395043
3,2019-10-09,18,1,1,3,50306507,55,1,1,1,2,2,2,1,1,3,4,4,2,2,2,3,2,1,19.19,9.9475,13.868,35.33,52.55,0.8533333333333332,18.916666666666668,9.285,10.034,26.492,56.696666666666665,0.8566666666666668,14.593333333333334,6.865,13.669999999999998,32.774,82.87333333333333,0.51,23.273333333333337,5.4,20.9,48.298,77.51666666666667,0.58,23.586666666666662,5.5275,19.362,47.244,68.85000000000001,0.7933333333333333,25.816666666666663,5.575,18.160000000000004,45.374,72.38,0.8333333333333334,3,2019-10-09,18.0,25.575,10.5,8.264,26.660000000000004,42.645,0.35,-0.7844030914685653
4,2019-10-10,11,1,1,3,221010102,29,1,1,3,2,3,3,2,1,3,3,3,3,5,1,3,3,1,17.21,8.66,9.642,24.838,44.21666666666667,0.57,19.19,9.9475,13.868,35.33,52.55,0.8533333333333332,18.916666666666668,9.285,10.034,26.492,56.696666666666665,0.8566666666666668,14.593333333333334,6.865,13.669999999999998,32.774,82.87333333333333,0.51,23.273333333333337,5.4,20.9,48.298,77.51666666666667,0.58,23.586666666666662,5.5275,19.362,47.244,68.85000000000001,0.7933333333333333,4,2019-10-10,11.0,31.715,9.665,19.032,50.604,19.975,0.48,-0.09801400590404837
6,2019-10-10,13,1,1,3,211003702,24,2,0,3,-1,1,1,1,2,2,3,4,1,5,3,5,4,1,17.21,8.66,9.642,24.838,44.21666666666667,0.57,19.19,9.9475,13.868,35.33,52.55,0.8533333333333332,18.916666666666668,9.285,10.034,26.492,56.696666666666665,0.8566666666666668,14.593333333333334,6.865,13.669999999999998,32.774,82.87333333333333,0.51,23.273333333333337,5.4,20.9,48.298,77.51666666666667,0.58,23.586666666666662,5.5275,19.362,47.244,68.85000000000001,0.7933333333333333,6,2019-10-10,13.0,23.125,9.25,12.152,36.288,22.415000000000003,0.5299999999999999,-0.6318531184210148
7,2019-10-10,14,1,1,3,211003706,23,1,0,1,1,1,1,2,1,5,1,3,1,1,1,5,4,1,17.21,8.66,9.642,24.838,44.21666666666667,0.57,19.19,9.9475,13.868,35.33,52.55,0.8533333333333332,18.916666666666668,9.285,10.034,26.492,56.696666666666665,0.8566666666666668,14.593333333333334,6.865,13.669999999999998,32.774,82.87333333333333,0.51,23.273333333333337,5.4,20.9,48.298,77.51666666666667,0.58,23.586666666666662,5.5275,19.362,47.244,68.85000000000001,0.7933333333333333,7,2019-10-10,14.0,26.6125,8.865,13.284,33.762,24.6,0.5466666666666667,-1.0166618447625564
10,2019-10-10,18,1,1,3,180903102,41,2,1,4,5,3,3,3,3,4,4,3,2,3,3,4,4,1,17.21,8.66,9.642,24.838,44.21666666666667,0.57,19.19,9.9475,13.868,35.33,52.55,0.8533333333333332,18.916666666666668,9.285,10.034,26.492,56.696666666666665,0.8566666666666668,14.593333333333334,6.865,13.669999999999998,32.774,82.87333333333333,0.51,23.273333333333337,5.4,20.9,48.298,77.51666666666667,0.58,23.586666666666662,5.5275,19.362,47.244,68.85000000000001,0.7933333333333333,10,2019-10-10,18.0,33.7075,8.49,21.23,52.654,35.4375,0.38,0.7416369524767736
12,2019-10-11,13,1,1,3,80505605,69,2,0,1,1,1,2,2,1,3,2,3,2,5,2,2,2,1,15.756666666666666,9.447500000000002,17.386,40.116,51.64666666666667,0.5599999999999999,17.21,8.66,9.642,24.838,44.21666666666667,0.57,19.19,9.9475,13.868,35.33,52.55,0.8533333333333332,18.916666666666668,9.285,10.034,26.492,56.696666666666665,0.8566666666666668,14.593333333333334,6.865,13.669999999999998,32.774,82.87333333333333,0.51,23.273333333333337,5.4,20.9,48.298,77.51666666666667,0.58,12,2019-10-11,13.0,22.23,8.7675,14.718,34.734,29.3625,0.43,-0.9322086703836884
13,2019-10-11,13,1,1,3,20201401,22,2,0,2,1,4,3,3,3,4,3,3,3,3,4,4,4,1,15.756666666666666,9.447500000000002,17.386,40.116,51.64666666666667,0.5599999999999999,17.21,8.66,9.642,24.838,44.21666666666667,0.57,19.19,9.9475,13.868,35.33,52.55,0.8533333333333332,18.916666666666668,9.285,10.034,26.492,56.696666666666665,0.8566666666666668,14.593333333333334,6.865,13.669999999999998,32.774,82.87333333333333,0.51,23.273333333333337,5.4,20.9,48.298,77.51666666666667,0.58,13,2019-10-11,13.0,22.23,8.7675,14.718,34.734,29.3625,0.43,1.1526007033666015
